name,email,phone,amount,date
Budi Santoso,budi.santoso@email.com,08123456789,500000,2026-07-22
Siti Rahayu,siti.rahayu@gmail.com,08987654321,350000,2026-07-21
Andi Pratama,andi.pratama@yahoo.com,,250000,2026-07-20
,,,200000,2026-07-19
,,,150000,2026-07-18
Budi Santoso,budi.santoso@email.com,08123456789,100000,2026-07-17
Dian Permata,dian.p@outlook.com,08111222333,150000,2026-07-16
Rizky Fauzi,rizky.fauzi@gmail.com,,100000,2026-07-15
,,,100000,2026-07-14
Maya Indah,maya.indah@gmail.com,,75000,2026-07-13
,,,50000,2026-07-12
Hendra Gunawan,hendra.g@proton.me,,50000,2026-07-11
Siti Rahayu,siti.rahayu@gmail.com,08987654321,150000,2026-07-10

